antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"Education 2,Department Research & Development",Attrition No,0.12380952380952381,0.8387755102040816,0.10816326530612246,0.8736263736263736,1.0415496911847277,0.004314868804664737,1.2757763975155283
"Businesstravel Travel Rarely,Educationfield Life Sciences,Gender Male",Attrition No,0.16666666666666666,0.8387755102040816,0.145578231292517,0.8734693877551021,1.0413625304136254,0.005782312925170091,1.2741935483870974
"Businesstravel Travel Rarely,Environmentsatisfaction 2",Attrition No,0.14489795918367346,0.8387755102040816,0.12653061224489795,0.8732394366197184,1.0410883794249683,0.004993752603082061,1.2718820861678013
"Businesstravel Travel Rarely,Jobsatisfaction 4,Gender Male",Attrition No,0.13401360544217686,0.8387755102040816,0.11700680272108843,0.8730964467005077,1.040917904825423,0.004599472442038052,1.2704489795918377
"Businesstravel Travel Rarely,Maritalstatus Married,Gender Male",Attrition No,0.19795918367346937,0.8387755102040816,0.1727891156462585,0.8728522336769761,1.0406267506124534,0.00674580036096073,1.268008825151684
"Department Research & Development,Educationfield Life Sciences,Gender Male",Attrition No,0.18639455782312925,0.8387755102040816,0.16258503401360544,0.8722627737226277,1.0399239881364661,0.006241843676246028,1.2621574344023325
"Businesstravel Travel Rarely,Gender Female",Attrition No,0.2870748299319728,0.8387755102040816,0.2503401360544218,0.8720379146919431,1.039655908026891,0.009548799111481349,1.2599395313681032
"Businesstravel Travel Rarely,Hourlyrate Range <=48",Attrition No,0.19659863945578232,0.8387755102040816,0.17142857142857143,0.8719723183391003,1.039577703129341,0.0065264473136193435,1.2592939878654161
"Businesstravel Travel Rarely,Distancefromhome Range <=2",Attrition No,0.19659863945578232,0.8387755102040816,0.17142857142857143,0.8719723183391003,1.039577703129341,0.0065264473136193435,1.2592939878654161
"Businesstravel Travel Rarely,Hourlyrate Range <=48,Distancefromhome Range <=2",Attrition No,0.19659863945578232,0.8387755102040816,0.17142857142857143,0.8719723183391003,1.039577703129341,0.0065264473136193435,1.2592939878654161
"Businesstravel Travel Rarely,Department Research & Development,Jobinvolvement 2",Attrition No,0.11632653061224489,0.8387755102040816,0.10136054421768707,0.8713450292397661,1.03882984021286,0.0037886991531306535,1.253153988868275
Hourlyrate Range <=48,Attrition No,0.28503401360544217,0.8387755102040816,0.24829931972789115,0.8711217183770883,1.03856360585103,0.00921976954046927,1.2509826152683299
Distancefromhome Range <=2,Attrition No,0.28503401360544217,0.8387755102040816,0.24829931972789115,0.8711217183770883,1.03856360585103,0.00921976954046927,1.2509826152683299
"Distancefromhome Range <=2,Hourlyrate Range <=48",Attrition No,0.28503401360544217,0.8387755102040816,0.24829931972789115,0.8711217183770883,1.03856360585103,0.00921976954046927,1.2509826152683299
"Businesstravel Travel Rarely,Department Research & Development,Educationfield Medical",Attrition No,0.17414965986394557,0.8387755102040816,0.15170068027210884,0.87109375,1.0385302615571776,0.005628210467860634,1.2507111935683368
"Department Research & Development,Jobinvolvement 3,Environmentsatisfaction 4",Attrition No,0.12653061224489795,0.8387755102040816,0.11020408163265306,0.870967741935484,1.0383800329644457,0.004073302790503969,1.2494897959183688
"Businesstravel Travel Rarely,Department Research & Development,Education 3",Attrition No,0.18979591836734694,0.8387755102040816,0.1653061224489796,0.870967741935484,1.0383800329644457,0.006109954185755967,1.2494897959183688
"Maritalstatus Married,Environmentsatisfaction 4",Attrition No,0.12653061224489795,0.8387755102040816,0.11020408163265306,0.870967741935484,1.0383800329644457,0.004073302790503969,1.2494897959183688
"Businesstravel Travel Rarely,Department Research & Development",Attrition No,0.4639455782312925,0.8387755102040816,0.40408163265306124,0.8709677419354839,1.0383800329644455,0.014935443565181228,1.2494897959183677
"Department Research & Development,Educationfield Medical",Attrition No,0.24693877551020407,0.8387755102040816,0.21496598639455783,0.8705234159779615,1.037850301287594,0.007839788976815254,1.2452019105514551
"Department Research & Development,Environmentsatisfaction 3",Attrition No,0.19863945578231293,0.8387755102040816,0.1727891156462585,0.8698630136986302,1.0370629603706296,0.006175204775787868,1.2388829215896893
"Jobinvolvement 3,Gender Male,Environmentsatisfaction 4",Attrition No,0.11496598639455782,0.8387755102040816,0.1,0.8698224852071006,1.0370146417310933,0.0035693461057892673,1.238497217068646
"Department Research & Development,Distancefromhome Range >2 <=7",Attrition No,0.16122448979591836,0.8387755102040816,0.1401360544217687,0.869198312236287,1.0362704939070089,0.004904900735804546,1.2325872284397636
"Department Research & Development,Distancefromhome Range >2 <=7,Hourlyrate Range >48 >=66",Attrition No,0.16122448979591836,0.8387755102040816,0.1401360544217687,0.869198312236287,1.0362704939070089,0.004904900735804546,1.2325872284397636
"Department Research & Development,Hourlyrate Range >48 >=66",Attrition No,0.16122448979591836,0.8387755102040816,0.1401360544217687,0.869198312236287,1.0362704939070089,0.004904900735804546,1.2325872284397636
"Businesstravel Travel Rarely,Gender Female,Jobinvolvement 3",Attrition No,0.16598639455782313,0.8387755102040816,0.14421768707482993,0.8688524590163934,1.035858162817598,0.004992364292655843,1.2293367346938775
"Gender Male,Environmentsatisfaction 2",Attrition No,0.11904761904761904,0.8387755102040816,0.10340136054421768,0.8685714285714285,1.0355231143552313,0.003547133138969885,1.2267080745341616
"Maritalstatus Married,Gender Male",Attrition No,0.2727891156462585,0.8387755102040816,0.23673469387755103,0.8678304239401496,1.0346396781768208,0.00792586422324032,1.2198305737389301
"Jobinvolvement 3,Educationfield Medical",Attrition No,0.18435374149659864,0.8387755102040816,0.1598639455782313,0.8671586715867159,1.0338388055413401,0.005232541996390422,1.2136621315192748
"Businesstravel Travel Rarely,Education 4,Jobinvolvement 3",Attrition No,0.11768707482993197,0.8387755102040816,0.10204081632653061,0.8670520231213873,1.0337116577359606,0.003327780091628499,1.2126885536823429
"Maritalstatus Married,Educationfield Medical",Attrition No,0.14285714285714285,0.8387755102040816,0.12380952380952381,0.8666666666666667,1.0332522303325224,0.003984450923226454,1.2091836734693884
"Businesstravel Travel Rarely,Department Research & Development,Jobrole Research Scientist",Attrition No,0.14285714285714285,0.8387755102040816,0.12380952380952381,0.8666666666666667,1.0332522303325224,0.003984450923226454,1.2091836734693884
"Businesstravel Travel Rarely,Jobrole Research Scientist",Attrition No,0.14285714285714285,0.8387755102040816,0.12380952380952381,0.8666666666666667,1.0332522303325224,0.003984450923226454,1.2091836734693884
"Gender Female,Jobinvolvement 3",Attrition No,0.23469387755102042,0.8387755102040816,0.20340136054421767,0.8666666666666666,1.0332522303325222,0.006545883659586277,1.2091836734693873
