antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"Joblevel 1,Maritalstatus Single,Age Range <=30",Attrition Yes,0.0727891156462585,0.16122448979591836,0.03333333333333333,0.45794392523364486,2.8404116881580506,0.02159794530056921,1.547396199859254
"Joblevel 1,Age Range <=30,Jobinvolvement 2",Attrition Yes,0.047619047619047616,0.16122448979591836,0.02108843537414966,0.44285714285714284,2.7468354430379747,0.013411078717201166,1.5054945054945055
"Age Range <=30,Businesstravel Travel Frequently",Attrition Yes,0.04693877551020408,0.16122448979591836,0.02040816326530612,0.4347826086956521,2.6967528893780957,0.01284048313202832,1.4839874411302982
"Joblevel 1,Businesstravel Travel Frequently",Attrition Yes,0.0707482993197279,0.16122448979591836,0.030612244897959183,0.43269230769230765,2.6837877312560856,0.019205886436207135,1.4785195434105847
"Department Sales,Joblevel 1,Jobrole Sales Representative",Attrition Yes,0.05170068027210884,0.16122448979591836,0.021768707482993196,0.42105263157894735,2.6115922718187874,0.013433291684020547,1.4487940630797773
"Department Sales,Joblevel 1",Attrition Yes,0.05170068027210884,0.16122448979591836,0.021768707482993196,0.42105263157894735,2.6115922718187874,0.013433291684020547,1.4487940630797773
"Joblevel 1,Jobrole Sales Representative",Attrition Yes,0.05170068027210884,0.16122448979591836,0.021768707482993196,0.42105263157894735,2.6115922718187874,0.013433291684020547,1.4487940630797773
"Joblevel 1,Maritalstatus Single,Education 3",Attrition Yes,0.061224489795918366,0.16122448979591836,0.025170068027210883,0.4111111111111111,2.549929676511955,0.015299180896848535,1.424335772044667
"Department Sales,Jobrole Sales Representative",Attrition Yes,0.05646258503401361,0.16122448979591836,0.022448979591836733,0.3975903614457831,2.466066798840933,0.013345828127169234,1.3923673469387754
Jobrole Sales Representative,Attrition Yes,0.05646258503401361,0.16122448979591836,0.022448979591836733,0.3975903614457831,2.466066798840933,0.013345828127169234,1.3923673469387754
"Maritalstatus Single,Age Range <=30",Attrition Yes,0.10136054421768707,0.16122448979591836,0.04013605442176871,0.3959731543624161,2.4560360207289103,0.023794252394835486,1.388639455782313
"Maritalstatus Single,Age Range <=30,Gender Male",Attrition Yes,0.06054421768707483,0.16122448979591836,0.023809523809523808,0.3932584269662921,2.4391978381453563,0.014048313202832152,1.3824263038548752
"Joblevel 1,Maritalstatus Single,Gender Male",Attrition Yes,0.08231292517006802,0.16122448979591836,0.03197278911564626,0.3884297520661157,2.409247829270844,0.018701929751492437,1.3715113072255931
"Joblevel 1,Maritalstatus Single,Educationfield Life Sciences",Attrition Yes,0.05782312925170068,0.16122448979591836,0.022448979591836733,0.388235294117647,2.408041697691735,0.013126475079827848,1.3710753532182103
"Joblevel 1,Jobsatisfaction 1",Attrition Yes,0.07210884353741497,0.16122448979591836,0.027891156462585033,0.38679245283018865,2.39909242894674,0.016265444953491602,1.3678492935635795
"Joblevel 1,Maritalstatus Single",Attrition Yes,0.13741496598639455,0.16122448979591836,0.053061224489795916,0.38613861386138615,2.395036972051636,0.03090656670831598,1.366392363396972
"Maritalstatus Single,Environmentsatisfaction 1",Attrition Yes,0.0653061224489796,0.16122448979591836,0.025170068027210883,0.38541666666666663,2.3905590717299576,0.014641121754824377,1.3647872708405395
"Maritalstatus Single,Businesstravel Travel Frequently",Attrition Yes,0.0653061224489796,0.16122448979591836,0.025170068027210883,0.38541666666666663,2.3905590717299576,0.014641121754824377,1.3647872708405395
"Joblevel 1,Maritalstatus Single,Gender Female",Attrition Yes,0.05510204081632653,0.16122448979591836,0.02108843537414966,0.38271604938271603,2.373808407563682,0.012204636956823544,1.3588163265306121
"Maritalstatus Single,Jobsatisfaction 1",Attrition Yes,0.06054421768707483,0.16122448979591836,0.02312925170068027,0.38202247191011235,2.3695064713412033,0.013368041093988614,1.3572912801484232
"Joblevel 1,Environmentsatisfaction 3,Age Range <=30",Attrition Yes,0.05374149659863946,0.16122448979591836,0.02040816326530612,0.37974683544303794,2.355391764140362,0.011743717895321392,1.352311536859642
